post_id,thread_id,subjectt,poruka,manager_vidio,from_manager,time_created,time_manager_saw,closed,username,email,password_hash
1,1,tema1,poruka1,0,0,"2023-11-01 12:00:00",,0,"menadžer1","menadžer1@gmail.com",jdn934hf937bo3ubf934fvb93b4f
2,1,tema1,poruka2,1,1,"2023-11-01 12:05:00","2023-11-01 12:06:00",0,"menadžer1","menadžer1@gmail.com",jdn934hf937bo3ubf934fvb93b4f
3,1,tema1,poruka3,0,0,"2023-11-01 12:10:00",,0,"menadžer1","menadžer1@gmail.com",jdn934hf937bo3ubf934fvb93b4f
4,1,tema1,poruka4,1,1,"2023-11-01 12:15:00","2023-11-01 12:15:00",0,"menadžer1","menadžer1@gmail.com",jdn934hf937bo3ubf934fvb93b4f
5,1,tema1,poruka5,0,0,"2023-11-01 12:20:00",,0,"menadžer1","menadžer1@gmail.com",jdn934hf937bo3ubf934fvb93b4f
6,2,tema2,poruka6,1,0,"2023-11-01 13:00:00",,1,"menadžer2","menadžer2@gmail.com",jdn934hf937bo3ubf934fvb93b4f
7,2,tema2,poruka7,1,1,"2023-11-01 13:05:00","2023-11-01 13:05:00",1,"menadžer2","menadžer2@gmail.com",jdn934hf937bo3ubf934fvb93b4f
8,2,tema2,poruka8,1,0,"2023-11-01 13:10:00",,1,"menadžer2","menadžer2@gmail.com",jdn934hf937bo3ubf934fvb93b4f
9,2,tema2,poruka9,1,1,"2023-11-01 13:15:00","2023-11-01 13:15:00",1,"menadžer2","menadžer2@gmail.com",jdn934hf937bo3ubf934fvb93b4f
10,2,tema2,poruka10,1,0,"2023-11-01 13:20:00",,1,"menadžer2","menadžer2@gmail.com",jdn934hf937bo3ubf934fvb93b4f
